@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

hepatitis,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,12,3,0,80,20,0,0.444444,0.201034,0.436029,61.523298,108.964148,10.837276,23.141304,-12.304028,0.722485,1.542754,-0.820269,3.05991,0.203994,411.334249,0.666667,2,0.166667,2,0.833333,10,0.333333,1,0.5,0.666667,0.571429,0.452267,0.75,0.75,0.8,0.3,0.7,0.2,0.827273,0.8,0.809938,0.452267,0.75,0.87688,0.720497,0.8,0.001,0.001,0,0,0,0,6484,29618,5993,86.666667,53.333333,?,?,?,?
hepatitis,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,11,5,0,68.75,31.25,0,0.375,0.252754,0.417541,78.86764,106.752742,11.184744,34.854843,-23.670099,0.699046,2.178428,-1.479381,-0.489619,-0.030601,-65.567781,1,3,0.384615,5,0.615385,8,0,0,0.375,1,0.545455,0.480384,0.948718,0.805556,0.6875,0.072115,0.927885,0.3125,0.882813,0.6875,0.72132,0.480384,0.948718,0.955208,0.65368,0.6875,0.001,0,0,0,0,0,6484,29429,6182,93.75,65.625,?,?,?,?
hepatitis,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,13,3,0,81.25,18.75,0,0.454545,0.16912,0.365112,52.771129,93.348222,11.184744,11.863846,-0.679102,0.699046,0.74149,-0.042444,4.062034,0.253877,543.971431,0.666667,2,0.153846,2,0.846154,11,0.333333,1,0.5,0.666667,0.571429,0.46225,0.871795,0.698413,0.8125,0.299679,0.700321,0.1875,0.838542,0.8125,0.822143,0.46225,0.871795,0.919421,0.725714,0.8125,0.001,0,0,0,0,0,6484,29429,6182,93.75,59.375,?,?,?,?
hepatitis,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,16,0,0,100,0,0,1,0.027039,0.062744,8.437097,16.041721,11.184744,0.675703,10.50904,0.699046,0.042231,0.656815,10.50904,0.656815,1407.32891,1,3,0,0,1,13,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0.001,0,0,0,0,6484,29429,6182,100,59.375,?,?,?,?
hepatitis,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,12,4,0,75,25,0,0.333333,0.251149,0.464532,71.179858,106.721421,13.112639,42.08342,-28.970781,0.81954,2.630214,-1.810674,2.064393,0.129025,281.585623,0.5,2,0.166667,2,0.833333,10,0.5,2,0.5,0.5,0.5,0.333333,0.583333,0.629167,0.75,0.416667,0.583333,0.25,0.75,0.75,0.75,0.333333,0.583333,0.749805,0.666667,0.75,0,0.001,0,0,0,0,6484,29429,6182,87.5,59.375,?,?,?,?
hepatitis,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,139,16,13,3,0,81.25,18.75,0,0.538462,0.186117,0.360867,52.748841,82.905478,13.112639,34.163376,-21.050737,0.81954,2.135211,-1.315671,5.967996,0.373,814.041686,0.75,3,0.166667,2,0.833333,10,0.25,1,0.6,0.75,0.666667,0.544949,0.895833,0.645833,0.8125,0.229167,0.770833,0.1875,0.831818,0.8125,0.818841,0.544949,0.895833,0.890625,0.768116,0.8125,0,0,0,0,0,0,6484,29429,6182,93.75,65.625,?,?,?,?
hepatitis,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,12,3,0,80,20,0,0.444444,0.202191,0.438891,61.877432,109.679357,10.837276,17.336562,-6.499286,0.722485,1.155771,-0.433286,3.031012,0.202067,407.449593,0.666667,2,0.166667,2,0.833333,10,0.333333,1,0.5,0.666667,0.571429,0.452267,0.888889,0.809524,0.8,0.3,0.7,0.2,0.827273,0.8,0.809938,0.452267,0.888889,0.938494,0.720497,0.8,0.002,0.001,0.01,0,10,0,6484,29618,5993,80,53.333333,?,?,?,?
hepatitis,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,15,0,0,100,0,0,1,0.03002,0.076717,9.187165,19.171648,10.837276,0.725164,10.112112,0.722485,0.048344,0.674141,10.112112,0.674141,1359.339807,1,3,0,0,1,12,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,0,0,0,0,0,6484,29618,5993,100,56.666667,?,?,?,?
hepatitis,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,9,6,0,60,40,0,0,0.404326,0.596347,123.737589,149.027618,10.837276,39.173519,-28.336243,0.722485,2.611568,-1.889083,-5.130042,-0.342003,-689.615578,0.333333,1,0.333333,4,0.666667,8,0.666667,2,0.2,0.333333,0.25,0,0.611111,0.306349,0.6,0.6,0.4,0.4,0.68,0.6,0.631818,0,0.611111,0.779228,0.488636,0.6,0.001,0,0,0,0,0,6484,29618,5993,80,66.666667,?,?,?,?
hepatitis,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20161122.0654,140,15,13,2,0,86.666667,13.333333,0,0.444444,0.105047,0.286136,32.148123,71.505566,10.837276,4.685419,6.151857,0.722485,0.312361,0.410124,6.777889,0.451859,911.130549,0.333333,1,0,0,1,12,0.666667,2,1,0.333333,0.5,0.534522,1,1,0.866667,0.533333,0.466667,0.133333,0.885714,0.866667,0.838462,0.534522,1,1,0.711538,0.866667,0.001,0.001,0,0,0,0,6484,29618,5993,100,56.666667,?,?,?,?
